previous_gpa,attendance_rate,study_hours,assignment_average,test_average,library_visits,class_participation,predicted_gpa,risk_level
3.54,85.4,16.9,85.7,71.6,12,7.4,4.66,LOW
3.61,83.7,11.5,54.0,70.9,8,8.2,4.21,LOW
3.31,56.6,13.6,61.1,64.8,6,9.7,3.76,HIGH
1.4,38.9,11.9,36.3,47.0,8,4.9,2.61,HIGH
1.28,61.7,13.4,37.6,30.3,12,6.6,2.67,HIGH
3.75,75.5,9.6,58.7,83.6,7,10.0,4.76,LOW
1.3,93.4,15.0,43.7,21.8,8,4.2,2.81,HIGH
2.6,81.7,15.2,42.5,50.8,12,7.9,3.93,MEDIUM
3.74,86.6,12.0,58.6,74.2,3,7.7,4.61,LOW
3.84,63.6,12.8,70.1,48.7,7,4.6,3.72,HIGH
3.34,76.9,14.0,84.1,58.8,6,4.6,3.75,MEDIUM
2.97,79.0,8.8,85.0,68.2,6,7.5,4.4,LOW
2.2,65.9,14.9,52.9,43.7,13,8.0,3.44,HIGH
4.88,60.9,16.7,85.8,64.4,12,5.8,4.8,MEDIUM
3.51,74.4,20.8,69.2,56.5,6,9.0,4.12,MEDIUM
4.63,88.6,13.9,87.8,66.7,7,9.0,5.0,LOW
0.57,63.5,8.7,38.1,31.9,1,8.7,2.34,HIGH
3.75,74.7,11.4,59.0,71.9,10,6.5,4.28,MEDIUM
0.93,99.7,5.1,40.8,12.2,2,6.2,2.14,HIGH
0.32,69.7,16.4,5.5,2.8,10,3.8,1.83,HIGH
3.38,78.1,0.0,60.8,56.6,2,6.8,3.58,MEDIUM
2.15,76.3,18.1,47.2,48.4,11,5.9,3.47,HIGH
3.85,75.0,18.9,76.9,63.9,2,6.3,4.46,MEDIUM
2.15,100.0,0.0,47.3,52.3,3,10.0,3.73,MEDIUM
1.99,82.9,19.7,46.7,49.7,10,5.3,3.43,HIGH
1.94,52.9,18.2,44.4,51.5,13,8.3,3.15,HIGH
2.88,100.0,10.3,43.0,41.4,7,8.4,3.96,HIGH
2.67,82.4,4.8,60.8,52.1,6,5.8,3.63,MEDIUM
3.96,72.0,7.0,82.4,86.3,3,6.9,4.49,MEDIUM
1.36,99.6,7.4,48.8,29.0,2,10.0,2.94,HIGH
2.39,65.5,19.9,69.3,41.7,14,5.1,3.11,HIGH
2.68,100.0,9.3,59.3,49.7,8,8.8,3.77,HIGH
4.02,79.5,17.4,89.4,68.1,11,6.9,4.42,LOW
3.61,94.1,11.3,69.4,70.0,8,10.0,3.95,LOW
4.25,100.0,12.3,64.3,70.6,9,9.1,4.61,LOW
1.99,80.9,2.6,54.5,21.6,0,9.0,2.44,HIGH
4.28,76.5,5.1,86.6,92.2,7,7.9,4.69,LOW
3.2,60.9,19.8,63.0,68.9,11,5.9,4.04,MEDIUM
2.5,76.1,11.1,51.8,54.7,7,6.6,3.5,MEDIUM
1.65,61.4,13.8,44.5,40.0,7,10.0,2.88,HIGH
4.51,75.0,22.8,79.3,77.3,6,10.0,4.74,LOW
2.09,100.0,11.2,50.8,37.7,9,8.2,3.36,HIGH
2.55,79.9,10.9,44.1,31.2,4,5.8,2.81,HIGH
2.46,69.1,19.2,43.9,72.0,11,7.0,3.97,MEDIUM
3.32,74.6,12.1,51.6,64.8,5,2.9,3.61,MEDIUM
1.78,71.4,13.9,64.1,23.6,7,7.2,2.71,HIGH
4.22,94.8,18.0,79.0,64.7,9,10.0,4.68,MEDIUM
2.72,76.6,12.0,67.9,59.8,5,6.5,3.69,MEDIUM
4.63,100.0,16.7,73.4,86.2,9,10.0,5.0,LOW
2.63,72.9,11.3,52.6,45.8,6,10.0,3.4,HIGH
3.73,74.0,17.9,76.5,57.3,7,5.7,4.39,MEDIUM
1.52,63.7,14.5,52.6,32.5,12,6.7,2.63,HIGH
4.23,71.9,10.6,72.4,54.1,4,7.9,4.36,MEDIUM
4.67,50.3,12.4,81.0,77.7,9,6.5,4.5,HIGH
0.14,43.9,0.0,9.2,14.4,4,6.0,1.23,HIGH
2.99,88.0,19.2,58.6,78.2,14,10.0,4.32,LOW
2.71,50.1,4.5,45.4,50.5,2,3.4,2.92,HIGH
0.91,84.5,5.6,14.3,33.8,4,8.8,2.08,HIGH
2.6,70.0,9.4,56.6,73.6,6,10.0,4.07,MEDIUM
2.29,93.0,1.2,56.0,37.2,4,10.0,3.21,HIGH
2.23,50.4,14.8,37.1,41.7,8,5.5,2.71,HIGH
4.0,87.6,14.2,68.2,67.5,10,7.7,4.27,LOW
2.41,83.3,9.1,50.1,31.6,5,10.0,3.25,HIGH
4.5,83.8,7.9,99.5,77.8,9,9.5,4.98,LOW
2.23,96.0,7.8,20.1,63.2,5,10.0,3.06,MEDIUM
3.45,79.1,15.7,71.2,76.4,9,9.5,4.31,LOW
1.23,38.8,2.4,40.2,49.4,4,2.0,1.61,HIGH
2.52,85.2,9.5,45.7,45.7,11,10.0,3.27,HIGH
1.79,83.1,2.8,38.3,29.4,1,8.6,2.58,HIGH
3.05,74.1,16.6,64.1,87.8,13,9.7,4.49,MEDIUM
3.65,64.5,10.0,69.5,71.7,4,6.5,3.93,MEDIUM
2.52,72.2,15.3,69.8,33.9,9,8.4,3.58,HIGH
0.93,100.0,19.5,30.0,61.8,9,10.0,3.1,MEDIUM
2.5,63.3,19.6,61.1,51.9,10,5.2,3.58,MEDIUM
3.2,50.2,5.9,67.6,27.5,2,3.2,2.89,HIGH
1.59,54.5,13.9,45.7,57.6,11,7.1,2.93,HIGH
3.19,77.4,18.7,55.1,34.9,9,6.0,3.61,HIGH
1.26,100.0,16.2,35.9,39.1,11,9.3,3.01,HIGH
2.15,100.0,16.8,46.6,58.2,8,9.3,3.44,MEDIUM
3.04,88.4,1.3,53.5,68.8,2,9.6,3.54,LOW
2.38,62.3,16.1,59.9,70.0,14,7.6,3.45,MEDIUM
3.67,64.0,7.2,49.9,81.6,3,3.3,3.68,MEDIUM
0.48,92.0,16.0,35.7,47.0,7,7.8,2.88,HIGH
2.95,99.3,15.9,37.0,58.1,9,8.4,4.18,MEDIUM
2.59,67.7,15.5,52.3,49.3,9,6.3,3.31,HIGH
3.58,100.0,11.3,78.1,64.0,9,6.0,4.37,MEDIUM
3.52,74.3,19.9,55.9,83.8,12,9.7,4.88,MEDIUM
3.14,89.4,15.1,66.3,54.2,10,9.1,4.04,MEDIUM
3.81,96.3,13.9,75.3,81.5,5,9.4,4.63,LOW
0.38,54.3,6.4,23.9,13.0,6,6.9,1.54,HIGH
1.68,85.2,14.4,36.6,31.4,10,9.6,2.92,HIGH
2.0,100.0,23.9,40.3,60.2,15,10.0,3.79,MEDIUM
4.05,69.0,3.7,60.1,80.0,2,6.9,3.77,MEDIUM
3.33,61.1,16.4,63.9,38.7,10,6.3,3.93,HIGH
1.11,85.9,17.1,40.8,23.3,12,10.0,2.97,HIGH
2.89,80.1,22.4,53.8,27.6,10,9.1,3.97,HIGH
3.22,72.8,16.4,59.2,58.5,4,10.0,4.13,MEDIUM
2.27,78.0,12.1,64.9,46.5,4,8.1,3.41,HIGH
1.14,51.3,14.5,30.5,28.3,7,6.4,1.88,HIGH
2.15,84.5,10.4,50.8,62.6,10,8.2,3.36,MEDIUM
4.5,100.0,19.3,87.9,86.0,17,10.0,5.0,LOW
4.77,66.6,2.7,84.9,100.0,0,7.4,4.54,MEDIUM
2.73,64.7,9.1,62.7,62.6,6,5.6,3.11,MEDIUM
2.85,80.8,14.7,67.6,64.5,7,6.8,3.75,MEDIUM
3.22,100.0,19.0,72.4,66.4,12,10.0,4.57,LOW
2.87,95.6,11.9,68.3,55.0,8,10.0,4.38,MEDIUM
1.83,76.5,7.3,21.6,35.8,3,10.0,2.51,HIGH
1.35,78.6,10.7,23.6,34.1,5,7.9,2.64,HIGH
4.11,97.2,9.8,71.5,73.3,6,7.7,4.4,LOW
1.22,63.4,10.1,25.3,33.9,10,6.4,2.28,HIGH
4.63,87.8,9.4,77.3,90.5,4,10.0,5.0,LOW
0.77,60.1,9.4,35.4,32.3,2,1.8,2.22,HIGH
4.54,92.8,1.7,84.1,75.3,6,9.3,4.22,LOW
2.28,73.3,13.8,47.8,41.1,10,8.7,3.11,HIGH
0.71,81.2,16.0,23.4,30.6,6,8.6,2.47,HIGH
3.97,72.3,21.0,70.6,62.5,13,6.5,4.53,MEDIUM
3.16,89.2,17.2,59.9,57.1,13,6.5,3.84,MEDIUM
3.12,75.2,16.9,75.7,55.4,10,7.5,4.05,MEDIUM
2.97,100.0,13.8,41.8,88.6,12,7.6,4.28,LOW
2.73,100.0,1.4,68.7,41.0,4,10.0,3.92,HIGH
1.92,57.1,13.7,66.7,35.4,9,5.8,3.02,HIGH
2.57,81.1,12.7,66.1,47.2,8,10.0,3.68,HIGH
2.99,89.8,18.2,49.9,54.4,11,5.1,3.68,MEDIUM
1.11,70.7,15.4,26.7,45.5,12,6.4,2.77,HIGH
3.64,97.4,11.2,80.0,65.9,7,10.0,4.52,LOW
2.15,95.5,23.7,44.7,32.1,16,10.0,3.54,HIGH
0.62,76.7,17.1,19.2,43.8,11,9.2,2.38,HIGH
2.72,93.7,14.0,54.8,59.3,9,7.5,3.8,MEDIUM
2.9,39.4,14.7,47.3,63.6,8,3.0,3.32,HIGH
1.86,99.7,12.4,41.5,51.8,7,5.5,3.15,MEDIUM
1.77,92.2,12.1,29.5,28.0,9,9.3,2.93,HIGH
1.23,60.6,0.0,40.7,35.1,5,8.4,2.16,HIGH
2.31,82.0,6.5,41.3,60.2,6,8.2,3.35,MEDIUM
1.37,45.6,8.8,36.1,29.5,4,5.7,2.13,HIGH
2.07,65.8,14.7,41.6,50.6,4,7.7,2.91,MEDIUM
1.86,95.5,2.1,46.7,50.6,5,8.9,3.32,MEDIUM
1.26,77.8,8.9,42.1,18.1,14,2.9,2.07,HIGH
4.27,76.9,8.1,81.9,65.4,5,10.0,4.73,LOW
2.28,78.7,12.7,42.1,22.5,6,8.7,3.03,HIGH
4.49,76.9,14.7,76.7,83.6,11,5.2,4.89,LOW
2.19,93.8,8.1,71.5,71.3,3,10.0,3.55,LOW
3.86,68.1,8.6,82.3,63.7,10,7.2,4.22,MEDIUM
3.99,84.7,7.9,72.8,71.5,7,10.0,4.8,LOW
4.28,59.7,9.7,73.4,90.0,6,6.9,4.44,HIGH
3.32,89.9,11.7,50.5,67.7,5,9.9,4.11,LOW
2.4,72.9,19.9,62.3,39.9,14,7.7,3.36,HIGH
3.43,77.3,5.9,59.4,84.4,3,6.2,3.7,LOW
3.64,72.2,22.5,80.2,71.4,15,8.6,4.72,MEDIUM
2.2,74.2,4.6,56.3,46.0,5,7.4,2.95,HIGH
2.74,61.9,17.7,69.7,54.6,14,4.3,3.56,MEDIUM
1.85,83.3,9.1,50.4,51.0,7,7.0,3.18,MEDIUM
4.2,86.9,6.5,75.9,69.5,14,6.4,4.67,LOW
0.74,56.7,19.9,26.2,47.2,13,7.8,2.66,HIGH
2.88,68.5,12.5,58.5,73.5,8,10.0,3.95,MEDIUM
1.71,78.5,12.3,37.9,42.0,6,10.0,3.18,HIGH
3.16,68.4,10.3,46.2,63.0,9,7.6,3.87,MEDIUM
2.43,74.4,8.5,30.0,41.9,5,7.3,2.91,HIGH
2.26,100.0,10.9,56.4,42.0,5,9.4,3.86,HIGH
2.43,61.7,0.0,49.7,38.4,0,4.2,2.38,HIGH
2.48,41.0,0.9,61.8,50.2,1,8.0,2.54,HIGH
3.5,68.4,14.4,63.8,67.8,15,4.8,4.34,MEDIUM
3.22,72.7,19.1,63.3,44.0,12,5.6,3.66,HIGH
4.17,70.2,20.2,86.8,84.6,10,6.6,4.33,MEDIUM
2.09,82.3,6.3,62.0,36.9,8,8.0,3.12,HIGH
3.07,61.6,13.2,57.8,65.9,9,7.4,3.99,MEDIUM
3.5,59.2,0.0,57.5,76.7,5,4.6,3.51,HIGH
2.17,67.2,9.9,59.6,64.0,12,2.7,2.93,MEDIUM
4.53,67.5,16.9,80.0,94.5,5,6.3,4.8,MEDIUM
3.08,100.0,11.9,56.3,80.9,0,9.7,4.2,LOW
4.02,100.0,10.0,71.2,84.0,12,9.5,4.82,LOW
2.76,51.3,11.9,49.2,58.7,5,4.6,3.03,HIGH
0.62,47.1,19.7,32.0,21.0,6,4.0,1.77,HIGH
4.14,76.6,10.5,63.7,74.5,5,5.0,4.38,LOW
2.63,100.0,12.4,55.5,74.4,5,10.0,3.98,LOW
4.34,88.7,21.1,82.6,76.4,10,10.0,5.0,LOW
2.81,77.5,10.6,51.2,57.3,9,10.0,3.74,MEDIUM
4.06,70.7,2.2,91.7,92.5,2,4.7,4.29,MEDIUM
4.87,95.2,20.2,97.0,83.3,7,10.0,5.0,LOW
2.65,80.8,18.1,50.1,45.5,11,7.2,3.61,HIGH
2.73,100.0,0.0,54.9,69.9,0,9.0,3.38,LOW
3.43,51.0,11.2,75.3,56.0,6,3.2,3.98,HIGH
2.92,84.8,11.9,59.6,63.8,7,10.0,3.86,MEDIUM
1.82,69.0,20.2,56.2,46.2,14,6.4,3.23,HIGH
3.2,84.6,11.9,68.6,66.6,6,6.6,4.19,LOW
2.97,82.0,13.0,62.0,30.5,10,8.5,3.56,HIGH
3.29,86.2,13.2,66.8,73.4,3,10.0,4.19,LOW
4.38,93.6,9.2,100.0,78.6,9,9.1,4.83,LOW
2.88,100.0,19.8,48.0,65.7,15,10.0,4.32,LOW
1.84,100.0,7.2,31.7,49.8,4,10.0,3.06,HIGH
4.93,78.3,9.1,86.5,90.7,4,5.9,5.0,LOW
0.94,69.3,12.0,43.2,26.4,4,7.3,2.32,HIGH
3.79,58.4,4.0,47.1,66.4,3,4.6,3.03,HIGH
2.26,85.0,22.6,29.9,49.0,16,6.9,3.69,HIGH
4.14,91.4,12.0,73.1,78.0,6,10.0,4.56,LOW
4.14,56.4,16.9,98.4,70.9,13,5.5,4.62,HIGH
2.01,96.3,6.3,45.3,57.4,1,7.5,3.53,MEDIUM
3.61,76.4,16.3,57.6,64.6,9,7.4,4.07,MEDIUM
1.95,57.9,16.8,52.4,33.5,10,3.4,2.77,HIGH
1.38,64.4,17.6,52.4,44.5,11,6.0,3.13,HIGH
1.16,62.9,23.4,26.0,56.8,12,4.9,3.11,MEDIUM
3.34,63.2,8.7,69.6,50.7,10,7.3,3.69,MEDIUM
3.88,87.1,10.9,74.8,70.8,11,10.0,5.0,LOW
3.59,91.8,6.9,74.6,81.1,4,8.8,4.1,LOW
2.21,100.0,11.4,43.5,55.7,6,8.7,3.36,MEDIUM
1.61,66.8,16.0,45.4,48.0,8,6.9,2.88,HIGH
1.49,83.5,15.7,45.8,39.2,12,10.0,3.39,HIGH
3.47,67.6,21.8,74.2,34.7,10,7.8,3.99,HIGH
4.69,78.3,14.9,69.1,86.7,5,7.6,4.7,LOW
4.27,54.3,12.0,64.6,82.2,4,1.3,3.8,HIGH
4.07,60.0,5.4,69.2,88.5,6,5.9,3.92,MEDIUM
3.2,90.8,17.2,65.7,53.8,6,10.0,4.27,MEDIUM
4.81,54.3,11.1,92.7,100.0,6,7.3,4.88,HIGH
1.26,87.8,17.3,23.3,31.9,10,10.0,3.03,HIGH
3.45,67.2,9.5,70.1,60.6,1,5.4,3.44,MEDIUM
4.11,47.2,19.2,86.1,66.9,12,3.9,4.38,HIGH
1.37,37.4,14.3,42.2,49.7,8,3.5,2.41,HIGH
2.9,100.0,18.0,53.9,45.4,5,10.0,3.81,HIGH
2.84,47.5,14.3,53.9,65.4,9,4.2,3.28,HIGH
2.35,77.0,6.4,37.2,41.2,6,8.7,3.05,HIGH
1.34,83.7,9.8,52.5,36.2,7,7.6,2.86,HIGH
4.57,57.0,4.3,88.3,63.7,5,4.3,3.97,HIGH
2.1,69.1,13.1,30.3,56.8,9,9.1,3.28,MEDIUM
2.09,85.7,3.2,58.6,45.4,5,9.2,3.47,HIGH
2.32,82.7,13.8,56.5,57.2,6,9.8,3.6,MEDIUM
2.73,70.6,0.0,67.9,54.1,0,6.7,3.37,MEDIUM
3.53,81.8,16.9,62.4,73.8,6,9.8,4.35,LOW
3.89,76.4,5.4,69.2,72.0,2,5.5,4.52,LOW
4.05,62.5,6.3,67.6,83.6,11,4.4,4.19,MEDIUM
4.75,97.2,20.2,100.0,90.9,9,10.0,5.0,LOW
3.46,81.3,13.9,61.8,68.7,7,8.0,4.4,LOW
4.58,48.5,17.1,74.1,71.3,9,4.4,4.21,HIGH
2.53,86.3,6.0,46.5,48.2,3,6.8,3.37,HIGH
2.96,68.2,17.8,56.2,50.2,16,8.4,3.99,MEDIUM
2.86,73.4,11.2,73.4,75.1,2,10.0,4.11,MEDIUM
3.82,78.1,12.7,75.1,80.9,14,9.0,4.82,LOW
2.05,65.3,20.9,58.1,47.1,12,5.6,3.21,HIGH
4.1,100.0,5.0,79.4,68.7,7,10.0,5.0,LOW
2.64,54.1,17.5,52.7,45.4,10,6.1,2.8,HIGH
2.94,78.9,14.3,48.7,60.6,11,7.0,3.6,MEDIUM
2.14,84.1,10.7,63.1,70.1,4,10.0,3.47,LOW
2.54,78.7,5.4,63.0,53.6,0,7.5,3.7,MEDIUM
2.56,74.9,10.7,64.2,68.3,15,4.6,3.7,MEDIUM
3.27,72.0,7.1,73.2,67.0,11,6.6,3.78,MEDIUM
1.04,65.1,19.1,23.5,39.3,8,7.6,2.41,HIGH
2.94,64.9,12.6,61.7,53.4,10,5.1,3.23,MEDIUM
3.68,96.5,7.9,81.1,67.2,9,5.9,4.53,LOW
2.42,70.9,3.4,60.7,41.9,5,10.0,3.35,HIGH
4.23,100.0,9.2,80.0,80.8,5,10.0,4.97,LOW
3.64,88.7,19.4,89.4,66.1,17,7.9,4.67,LOW
4.1,35.3,12.7,81.9,79.7,10,2.3,4.36,HIGH
1.84,92.1,10.9,55.8,31.9,4,6.5,3.2,HIGH
3.07,77.1,22.2,63.1,66.5,11,6.1,3.78,LOW
0.71,55.8,9.5,22.0,30.0,3,2.5,1.69,HIGH
2.13,98.9,7.2,56.7,49.5,5,7.3,3.17,HIGH
4.11,71.0,14.4,84.0,80.3,8,7.1,4.94,MEDIUM
1.47,69.7,14.5,40.5,35.7,11,3.8,2.56,HIGH
3.22,84.0,8.5,54.8,100.0,8,5.5,3.95,LOW
1.52,96.3,7.2,47.8,44.8,6,10.0,3.11,HIGH
1.09,79.8,20.7,23.4,34.5,13,6.7,3.02,HIGH
3.93,78.7,9.4,81.8,82.0,9,8.6,4.8,LOW
3.12,66.9,3.3,50.9,55.5,2,6.0,3.17,MEDIUM
0.9,96.0,13.2,20.1,24.0,1,9.2,2.38,HIGH
0.96,80.0,17.4,32.3,41.0,17,9.6,3.13,HIGH
3.19,74.4,10.9,68.7,73.4,4,6.3,4.24,MEDIUM
3.83,72.4,15.2,74.6,85.9,11,8.7,4.35,MEDIUM
2.0,94.4,5.7,39.7,28.8,3,8.6,2.92,HIGH
3.78,73.8,15.8,82.8,69.3,14,5.7,4.4,MEDIUM
3.32,94.5,6.3,66.1,68.4,2,7.3,3.94,LOW
2.63,70.5,13.8,56.4,63.5,6,3.7,3.74,MEDIUM
3.65,89.6,16.6,68.2,75.5,8,6.5,4.2,LOW
1.68,81.3,12.6,32.9,31.3,9,4.6,2.84,HIGH
2.75,62.8,4.6,67.5,62.7,4,4.3,2.88,MEDIUM
2.08,76.6,4.8,39.8,51.0,6,9.3,2.92,MEDIUM
2.78,43.0,21.6,73.6,60.7,13,4.3,3.67,HIGH
2.36,66.1,7.4,42.2,37.9,8,5.8,2.6,HIGH
1.4,52.8,16.6,39.3,26.4,13,3.9,2.85,HIGH
3.37,100.0,12.7,66.3,87.0,12,9.8,4.57,LOW
4.63,52.9,6.0,83.3,94.6,6,5.4,4.38,HIGH
3.49,100.0,8.8,74.1,66.0,7,7.8,4.21,LOW
3.22,86.2,22.2,71.2,62.5,18,9.5,4.66,MEDIUM
3.35,69.7,32.9,70.6,91.5,20,6.3,5.0,MEDIUM
4.29,90.9,10.1,68.6,78.5,8,9.7,4.66,LOW
4.52,67.7,9.7,71.2,79.9,2,6.7,4.49,MEDIUM
2.82,55.4,2.2,45.0,48.0,0,2.7,2.8,HIGH
2.52,79.3,2.1,50.4,50.5,4,10.0,3.0,MEDIUM
3.19,89.2,6.9,84.0,42.5,7,8.9,3.93,HIGH
1.86,98.5,9.3,42.4,50.3,4,9.1,3.15,MEDIUM
1.47,86.0,11.8,58.1,53.8,8,9.8,3.04,MEDIUM
3.75,69.5,16.1,70.9,85.7,7,4.6,4.4,MEDIUM
3.43,100.0,13.3,68.0,57.6,10,6.9,4.46,MEDIUM
1.63,96.6,16.2,45.5,13.3,11,10.0,3.05,HIGH
2.31,82.3,8.3,46.8,54.5,7,10.0,2.91,MEDIUM
2.97,97.4,11.6,61.8,75.4,8,10.0,4.2,LOW
1.75,100.0,9.8,24.2,23.2,6,10.0,2.64,HIGH
3.32,69.3,4.4,55.8,59.9,3,4.4,3.8,MEDIUM
2.62,63.6,0.2,37.5,59.0,5,5.6,2.87,MEDIUM
4.16,68.8,8.0,84.7,66.2,7,5.6,3.95,MEDIUM
4.05,56.4,0.0,62.0,53.9,3,7.7,3.59,HIGH
4.29,87.5,5.2,93.5,69.2,4,9.7,4.82,LOW
2.39,52.2,15.3,54.3,44.6,11,7.3,3.22,HIGH
3.9,98.2,13.1,83.1,49.9,11,8.6,4.39,HIGH
3.11,67.2,12.1,55.2,74.4,6,4.5,3.62,MEDIUM
3.25,99.7,19.1,52.5,82.2,13,10.0,4.78,LOW
2.2,37.1,7.6,44.6,49.2,5,3.8,2.58,HIGH
2.66,71.8,16.1,65.5,64.0,10,9.3,4.32,MEDIUM
3.51,57.3,7.2,88.9,49.4,8,5.6,3.79,HIGH
4.8,99.7,13.7,92.1,83.5,4,10.0,5.0,LOW
2.99,100.0,12.9,46.8,53.0,5,10.0,3.84,MEDIUM
4.09,40.5,13.2,66.6,80.2,6,3.7,3.86,HIGH
3.14,91.9,9.7,47.2,29.5,4,9.2,3.15,HIGH
3.57,95.1,13.9,67.3,64.4,8,9.6,4.45,MEDIUM
2.31,83.2,14.4,46.9,57.9,14,6.0,3.46,MEDIUM
2.08,87.4,3.4,44.8,50.0,7,7.8,3.16,HIGH
3.24,86.3,17.1,52.8,72.7,8,7.5,4.52,LOW
3.17,91.9,4.6,50.8,55.2,6,9.7,3.74,MEDIUM
2.14,60.5,6.7,48.0,14.1,5,4.4,2.6,HIGH
2.6,97.2,13.5,58.8,67.6,9,9.4,4.02,LOW
1.63,81.3,15.6,27.6,50.0,6,7.4,3.04,HIGH
1.6,80.4,13.3,43.8,59.2,4,8.2,3.19,MEDIUM
0.89,87.1,14.0,37.9,31.4,11,10.0,2.84,HIGH
1.39,57.7,5.2,12.5,42.4,4,8.0,2.15,HIGH
3.24,53.1,8.9,79.4,91.3,7,2.7,4.24,HIGH
4.96,76.1,0.0,96.4,65.2,6,7.5,4.76,LOW
2.95,100.0,6.5,68.8,64.6,4,9.4,4.08,MEDIUM
4.25,59.0,4.0,68.6,92.2,3,4.6,4.36,HIGH
3.21,80.8,12.1,71.1,65.6,13,10.0,4.29,LOW
3.03,66.5,26.1,69.5,61.2,15,5.6,4.35,MEDIUM
4.61,64.4,16.6,77.6,64.7,7,5.5,4.23,MEDIUM
4.16,86.0,0.0,85.3,93.9,4,10.0,5.0,LOW
1.46,90.2,2.9,35.5,51.3,2,10.0,2.91,MEDIUM
4.42,65.4,4.2,75.1,95.3,1,5.7,4.19,MEDIUM
0.22,100.0,1.5,16.3,20.8,3,10.0,2.11,HIGH
2.59,84.8,10.3,55.5,50.4,9,8.0,3.83,MEDIUM
2.73,74.1,13.4,52.9,56.1,5,7.1,3.32,MEDIUM
2.73,83.6,4.2,48.0,76.6,0,6.7,3.45,LOW
2.86,100.0,10.7,61.8,54.9,7,5.1,4.0,MEDIUM
1.89,90.1,13.3,49.0,62.3,5,6.2,3.5,MEDIUM
2.65,66.8,16.2,56.2,53.3,6,4.5,3.3,MEDIUM
4.11,77.7,12.9,60.5,65.3,8,8.6,4.28,LOW
3.77,80.1,14.0,65.6,45.8,12,8.3,3.87,HIGH
4.68,88.6,11.8,76.8,90.4,10,10.0,4.96,LOW
3.24,81.8,5.9,80.8,72.5,4,5.8,3.7,LOW
2.97,100.0,7.2,60.7,45.7,9,10.0,3.8,HIGH
4.87,74.4,4.1,85.2,100.0,9,10.0,5.0,MEDIUM
3.98,50.3,21.0,69.1,57.1,13,5.1,4.04,HIGH
3.51,81.4,3.2,66.4,75.7,2,6.8,4.2,LOW
0.94,70.9,17.7,36.7,40.3,15,5.8,2.57,HIGH
4.47,53.9,3.2,63.8,93.5,8,5.8,3.98,HIGH
3.93,66.7,16.6,76.3,49.4,11,10.0,4.53,HIGH
2.34,72.3,17.8,45.0,63.5,14,7.0,3.67,MEDIUM
3.15,96.2,18.9,66.6,60.4,9,6.5,4.47,MEDIUM
1.58,54.3,5.8,46.8,36.1,0,9.2,2.41,HIGH
4.29,83.6,13.0,72.4,88.0,5,7.6,5.0,LOW
4.2,100.0,8.4,64.3,88.3,6,10.0,4.62,LOW
4.59,75.2,6.7,80.9,58.4,5,8.8,4.37,MEDIUM
2.58,74.7,12.3,66.5,38.6,11,7.2,3.56,HIGH
4.21,89.5,16.9,86.5,91.3,5,10.0,5.0,LOW
1.09,86.4,8.4,27.5,38.9,1,7.2,2.5,HIGH
2.68,100.0,14.0,48.8,57.6,11,9.4,4.19,MEDIUM
2.61,75.3,6.6,48.5,42.7,0,6.5,3.13,HIGH
2.09,89.2,5.7,33.3,52.5,4,8.5,3.07,MEDIUM
1.99,89.5,10.1,52.7,60.4,7,10.0,3.79,MEDIUM
3.09,72.6,10.4,71.0,89.1,5,8.3,4.31,MEDIUM
1.8,76.2,16.0,38.2,39.0,11,4.5,2.91,HIGH
2.55,77.8,4.5,48.2,64.2,0,6.7,3.26,MEDIUM
3.73,58.2,25.0,64.0,92.5,19,5.1,4.55,HIGH
2.71,71.8,1.2,51.1,38.5,1,8.4,3.18,HIGH
2.86,100.0,13.4,50.6,79.7,8,7.2,4.31,LOW
2.08,94.6,10.3,44.6,49.5,15,10.0,3.8,HIGH
3.54,68.7,8.1,76.0,68.5,1,4.6,3.96,MEDIUM
3.68,77.7,10.9,77.1,63.0,4,8.3,4.09,MEDIUM
2.2,93.5,16.0,39.7,44.5,14,10.0,3.63,HIGH
2.68,85.1,17.0,56.7,46.6,5,6.1,3.46,HIGH
3.04,90.8,10.7,67.0,49.1,8,9.6,3.98,HIGH
1.59,86.5,14.0,29.5,45.7,7,8.3,3.27,HIGH
1.02,81.4,4.0,31.7,45.6,0,6.2,2.6,HIGH
4.18,75.3,10.9,89.8,63.9,9,5.1,4.62,MEDIUM
3.69,58.9,14.4,67.8,61.3,10,4.5,3.9,HIGH
3.58,89.1,0.0,48.6,71.2,2,7.3,3.99,LOW
1.78,74.5,12.5,16.5,29.5,14,7.0,2.5,HIGH
1.08,51.6,11.0,34.3,36.1,5,4.3,1.85,HIGH
1.9,69.3,19.6,44.5,41.3,14,7.8,3.27,HIGH
2.23,91.6,13.0,50.4,29.6,9,10.0,3.28,HIGH
1.17,47.3,14.9,37.5,40.1,12,1.7,2.64,HIGH
2.32,61.5,10.4,35.0,43.7,5,5.7,3.14,HIGH
4.57,80.2,15.8,75.5,94.3,5,6.1,4.78,LOW
4.73,100.0,15.4,90.2,81.9,7,7.8,5.0,LOW
0.87,94.0,4.2,35.5,21.7,3,6.3,1.85,HIGH
3.52,100.0,13.9,65.3,66.9,10,6.7,4.45,LOW
3.34,81.3,19.1,50.8,79.6,11,7.1,4.34,LOW
3.53,74.7,17.9,71.3,89.5,11,8.3,4.42,MEDIUM
2.24,91.5,12.2,49.1,56.5,13,9.9,3.74,MEDIUM
3.81,63.6,13.9,61.6,64.3,8,4.3,3.74,MEDIUM
